west_germany	west_germany.n.01.l
lower_saxony	lower_saxony.n.01.l
aachen	aachen.n.01.l
aken	aachen.n.01.l
berlin	berlin.n.01.l
bremen	bremen.n.01.l
bremerhaven	bremerhaven.n.01.l
chemnitz	chemnitz.n.01.l
dortmund	dortmund.n.01.l
dresden	dresden.n.01.l
leipzig	leipzig.n.01.l
solingen	solingen.n.01.l
bavaria	bavaria.n.01.l
hameln	hameln.n.01.l
hamelin	hameln.n.01.l
hohenlinden	hohenlinden.n.01.l
bonn	bonn.n.01.l
braunschweig	braunschweig.n.01.l
brunswick	braunschweig.n.01.l
dusseldorf	dusseldorf.n.01.l
essen	essen.n.01.l
halle	halle.n.01.l
hamburg	hamburg.n.01.l
hanover	hannover.n.01.l
lubeck	lubeck.n.01.l
mannheim	mannheim.n.01.l
munich	munich.n.01.l
nuremberg	nuremberg.n.01.l
potsdam	potsdam.n.01.l
rostock	rostock.n.01.l
stuttgart	stuttgart.n.01.l
wiesbaden	wiesbaden.n.01.l
wurzburg	wurzburg.n.01.l
ecuador	ecuador.n.01.l
guayaquil	guayaquil.n.01.l
quito	quito.n.01.l
asmara	asmara.n.01.l
massawa	massawa.n.01.l
ethiopia	ethiopia.n.01.l
addis_ababa	addis_ababa.n.01.l
suva	suva.n.01.l
helsinki	helsinki.n.01.l
espoo	espoo.n.01.l
tampere	tampere.n.01.l
greece	greece.n.01.l
knossos	knossos.n.01.l
athens	athens.n.01.l
actium	actium.n.01.l
patras	patras.n.01.l
patrai	patras.n.01.l
plataea	plataea.n.01.l
thessaloniki	thessaloniki.n.01.l
stagira	stagira.n.01.l
nazareth	nazareth.n.01.l
jerusalem	jerusalem.n.01.l
jaffa	jaffa.n.01.l
joppa	jaffa.n.01.l
samaria	samaria.n.01.l
italy	italy.n.01.l
italian_republic	italy.n.01.l
italia	italy.n.01.l
ferrara	ferrara.n.01.l
naples	naples.n.01.l
napoli	naples.n.01.l
messina	messina.n.01.l
bologna	bologna.n.01.l
rome	rome.n.01.l
roma	rome.n.01.l
anzio	anzio.n.01.l
brindisi	brindisi.n.01.l
genoa	genoa.n.01.l
genova	genoa.n.01.l
cremona	cremona.n.01.l
la_spezia	la_spezia.n.01.l
milan	milan.n.01.l
milano	milan.n.01.l
pisa	pisa.n.01.l
syracuse	syracuse.n.02.l
turin	turin.n.01.l
bari	bari.n.01.l
palermo	palermo.n.01.l
agrigento	agrigento.n.01.l
florence	firenze.n.01.l
trento	trento.n.01.l
trent	trento.n.01.l
padua	padua.n.01.l
padova	padua.n.01.l
venice	venice.n.01.l
verona	verona.n.01.l
romania	romania.n.01.l
brasov	brasov.n.01.l
bucharest	bucharest.n.01.l
bucuresti	bucharest.n.01.l
rwanda	rwanda.n.01.l
kigali	kigali.n.01.l
croatia	croatia.n.01.l
belgrade	belgrade.n.01.l
sarajevo	sarajevo.n.01.l
ljubljana	ljubljana.n.01.l
dubrovnik	dubrovnik.n.01.l
ragusa	dubrovnik.n.01.l
zagreb	zagreb.n.01.l
calgary	calgary.n.01.l
edmonton	edmonton.n.01.l
british_columbia	british_columbia.n.01.l
nanaimo	nanaimo.n.01.l
victoria	victoria.n.07.l
vancouver	vancouver.n.03.l
winnipeg	winnipeg.n.01.l
new_brunswick	new_brunswick.n.02.l
fredericton	fredericton.n.01.l
saint_john	saint_john.n.03.l
yellowknife	yellowknife.n.01.l
halifax	halifax.n.01.l
ottawa	ottawa.n.03.l
hamilton	hamilton.n.05.l
kingston	kingston.n.02.l
sault_sainte_marie	sault_sainte_marie.n.01.l
sudbury	sudbury.n.01.l
thunder_bay	thunder_bay.n.01.l
toronto	toronto.n.01.l
windsor	windsor.n.01.l
charlottetown	charlottetown.n.01.l
quebec	quebec.n.01.l
quebec_city	quebec.n.01.l
montreal	montreal.n.01.l
regina	regina.n.01.l
saskatoon	saskatoon.n.01.l
dawson	dawson.n.01.l
whitehorse	whitehorse.n.01.l
canberra	canberra.n.01.l
queensland	queensland.n.01.l
brisbane	brisbane.n.01.l
sydney	sydney.n.01.l
victoria	victoria.n.06.l
melbourne	melbourne.n.02.l
hobart	hobart.n.01.l
south_australia	south_australia.n.01.l
adelaide	adelaide.n.01.l
perth	perth.n.01.l
darwin	darwin.n.02.l
kolonia	kolonia.n.01.l
funafuti	funafuti.n.01.l
port_moresby	port_moresby.n.01.l
vienna	vienna.n.01.l
graz	graz.n.01.l
wagram	wagram.n.01.l
nassau	nassau.n.01.l
manama	manama.n.01.l
dhaka	dhaka.n.01.l
belgium	belgium.n.01.l
belgique	belgium.n.01.l
brussels	bruxelles.n.01.l
aalst	aalst.n.01.l
bruges	bruges.n.01.l
namur	namur.n.01.l
waterloo	waterloo.n.01.l
botswana	botswana.n.01.l
gaborone	gaborone.n.01.l
bolivia	bolivia.n.01.l
santa_cruz	santa_cruz.n.02.l
brasilia	brasilia.n.01.l
curitiba	curitiba.n.01.l
joao_pessoa	joao_pessoa.n.01.l
governador_valadares	governador_valadares.n.01.l
limeira	limeira.n.01.l
natal	natal.n.02.l
osasco	osasco.n.01.l
santos	santos.n.01.l
sao_bernardo_do_campo	sao_bernardo_do_campo.n.01.l
sao_goncalo	sao_goncalo.n.01.l
sao_joao_de_meriti	sao_joao_de_meriti.n.01.l
sao_jose_dos_campos	sao_jose_dos_campos.n.01.l
sao_paulo	sao_paulo.n.01.l
uk	united_kingdom.n.01.l
great_britain	united_kingdom.n.01.l
lancaster	lancaster.n.01.l
london	london.n.01.l
greater_london	london.n.01.l
greenwich	greenwich.n.01.l
westminster	westminster.n.01.l
city_of_westminster	westminster.n.01.l
manchester	manchester.n.02.l
birmingham	birmingham.n.02.l
oxford	oxford.n.01.l
cambridge	cambridge.n.03.l
bath	bath.n.05.l
blackpool	blackpool.n.01.l
brighton	brighton.n.01.l
bristol	bristol.n.01.l
cheddar	cheddar.n.01.l
leicester	leicester.n.02.l
newcastle	newcastle.n.01.l
portsmouth	portsmouth.n.03.l
