massawa	massawa.n.01
ethiopia	ethiopia.n.01
addis_ababa	addis_ababa.n.01
lake_tana	lake_tana.n.01
somalia	somalia.n.01
hargeisa	hargeisa.n.01
mogadishu	mogadishu.n.01
somalia	somalia.n.01
hargeisa	hargeisa.n.01
mogadishu	mogadishu.n.01
south_africa	south_africa.n.01
bloemfontein	bloemfontein.n.01
cape_province	cape_province.n.01
cape_town	cape_town.n.01
durban	durban.n.01
free_state	free_state.n.03
johannesburg	johannesburg.n.01
kalahari	kalahari.n.01
kimberley	kimberley.n.01
limpopo	limpopo.n.01
natal	natal.n.01
tugela	tugela.n.01
orange	orange.n.05
pretoria	pretoria.n.01
soweto	soweto.n.01
transvaal	transvaal.n.01
witwatersrand	witwatersrand.n.01
sub-saharan_africa	sub-saharan_africa.n.01
sudan	sudan.n.01
darfur	darfur.n.01
khartoum	khartoum.n.01
kordofan	kordofan.n.01
libyan_desert	libyan_desert.n.01
nile	nile.n.01
nubian_desert	nubian_desert.n.01
nyala	nyala.n.01
omdurman	omdurman.n.01
port_sudan	port_sudan.n.01
sudan	sudan.n.02
swaziland	swaziland.n.01
mbabane	mbabane.n.01
tanzania	tanzania.n.01
dar_es_salaam	dar_es_salaam.n.01
dodoma	dodoma.n.01
kilimanjaro	kilimanjaro.n.01
lake_nyasa	lake_nyasa.n.01
mbeya	mbeya.n.01
mwanza	mwanza.n.01
olduvai_gorge	olduvai_gorge.n.01
serengeti	serengeti.n.01
serengeti_national_park	serengeti_national_park.n.01
tabora	tabora.n.01
tanga	tanga.n.02
tanganyika	tanganyika.n.02
zanzibar	zanzibar.n.01
togo	togo.n.01
lome	lome.n.01
uganda	uganda.n.01
buganda	buganda.n.01
kampala	kampala.n.01
entebbe	entebbe.n.01
gulu	gulu.n.01
jinja	jinja.n.01
lake_edward	lake_edward.n.01
nile	nile.n.01
west_africa	west_africa.n.01
british_west_africa	british_west_africa.n.01
zambia	zambia.n.01
lusaka	lusaka.n.01
victoria	victoria.n.03
zambezi	zambezi.n.01
victoria	victoria.n.03
zimbabwe	zimbabwe.n.01
bulawayo	bulawayo.n.01
harare	harare.n.01
victoria	victoria.n.03
zambezi	zambezi.n.01
victoria	victoria.n.03
amyotrophic_lateral_sclerosis	amyotrophic_lateral_sclerosis.n.01
aran_islands	aran_islands.n.01
arctic	arctic.n.01
arkansas	arkansas.n.02
atlas_mountains	atlas_mountains.n.01
australasia	australasia.n.01
mahoe	mahoe.n.01
baltic	baltic.n.01
gulf_of_bothnia	gulf_of_bothnia.n.01
aland_islands	aland_islands.n.01
gulf_of_finland	gulf_of_finland.n.01
gulf_of_riga	gulf_of_riga.n.01
biscayne_national_park	biscayne_national_park.n.01
bismarck_archipelago	bismarck_archipelago.n.01
admiralty_islands	admiralty_islands.n.01
new_britain	new_britain.n.01
new_ireland	new_ireland.n.01
